tokenId,domain,metadata.name,metadata.description,metadata.image,metadata.animation_url,metadata.stakingRequests,metadata.attributes.1.Base Model,metadata.attributes.2.Industry,metadata.attributes.3.Primary Color,metadata.attributes.4.Primary Material,metadata.attributes.5.Secondary Color,metadata.attributes.6.Secondary Material
0xaff45ba65e7965df52568603c69b404e7a89944dacdac865b220e15ed08dbe9f,wilder.kicks.airwild.season1.108,Mystic Mandala,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmXgRJuoPrPGZVEgDW6baEcoSbckuKmScyiirL1QTA5a8b,ipfs://QmXKypSVKNAyY85fSUBNeAUGAB1gqre4HQLaQwwzQu6HdF,disabled,Mandala,Wilder.Kicks,Black,Resin,Purple,Steel
0xfb3a123dccb1dc14091b5efacbd629dc79d06d7af40b3d9ef3d4f30cc75be7e1,wilder.kicks.airwild.season1.109,Varient Ribbon,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmZGuYP8icCHdZibHPGKxxz3VgvHsnrV3UA6aKLabzP8BM,ipfs://QmQmBwRYGTDjEpgi86N3uNK4sJtaC1a6TUxpnpBi7u3RNw,disabled,Ribbon,Wilder.Kicks,Red,Resin,Green,Steel
0x221f41257a741894c34e626f6b72f790c4221bcace399fdaebb651a49ee494e0,wilder.kicks.airwild.season1.11,Old Ribbon,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmRbD6qPz86RuTidHunJigcsgNuTDHXxLZ3aMN1agbF2CG,ipfs://QmdoqJ8rRoCDVuVaZcNfF6d1yyEBhn9b8pmYHApSPgBZcA,disabled,Ribbon,Wilder.Kicks,None,Bone,Yellow,Steel
0x44d86bbcbacc22451ba46c385e5679f89527d285c83bf6a3f03f604bf438c667,wilder.kicks.airwild.season1.110,Stem Ribbon,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmdxzLfvsFgTCmXL4YmPcYL1mHtTGA2rfsRSyjXe6C63oH,ipfs://QmPdBCAQFX9Fbp55wEsFf1hUgcGJA3r16iAVZECAkbubK7,disabled,Ribbon,Wilder.Kicks,White,Resin,White,Steel
0xe74f61b32b85ed48985f2912a3433c28f64b010e0052124e2165e429035bc777,wilder.kicks.airwild.season1.111,Bolt Ribbon,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmTAQZQWC4MY1ZdKC9cdc8YFcBcE7y7sNJwfkwH4EpX6uS,ipfs://QmRcx7tn7qnQ1eUGkh1M9cEF8SrkLSigucDdg7umiGH7rT,disabled,Ribbon,Wilder.Kicks,Blue,Steel,Blue,Resin
0x75f9c556e4bdba96722ec033eed52db2612f58fb9409a168b643d324e6dae6e4,wilder.kicks.airwild.season1.112,Raise Momentum,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmXBAjY5MaFmHQtzxmV6qJxVrVcgSYbChrczjp8i3Cq66w,ipfs://QmNXEko6Fa3VzMu3PgBoQviwTbgKPicbZJUfr2MG3aSgQJ,disabled,Momentum,Wilder.Kicks,Black,Resin,Orange,Steel
0xff7b467dfe6ba369d336e2ba13ea3168a7bb783ba70100a723b3e0f88fecaa6c,wilder.kicks.airwild.season1.113,Vortex Zero,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmcRYYYxkH96uabhkeLhuYoLyNxW6NDFtnP3AX5Z1RpyqS,ipfs://QmdPo2dBNJvb9fiyQXSVC1BZ7NzAyPqyub8CxmYp3Nz9j9,disabled,Zero,Wilder.Kicks,Green,Resin,Yellow,Steel
0xa2c5bfab989931075d664bc186c6459a69a611e0cb0f199afbb137f7dd3834bc,wilder.kicks.airwild.season1.114,Magic Momentum,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmZatHeo5LDJnL2XwTjjkMucA7FBsWXUACfdUnRiM5Lt23,ipfs://QmVexcgiDNUom5LN63UZYM9FPQMFTqtW1EdGoD7KAmuKGo,disabled,Momentum,Wilder.Kicks,White,Resin,Mars,Steel
0xc95f7d325d9a7f5a924e218e4619642697c94ba46370bde2e2e84645494bc362,wilder.kicks.airwild.season1.115,Cali Liquid,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmVRyecvruTNjaDTua36ApNSH2t5jUwymJm1bFa91zpGgR,ipfs://QmUWNDUBfpcctivxskF3UKd3sVioZ4WjsjK2iuQ37yEEEU,disabled,Liquid,Wilder.Kicks,White,Resin,Purple,Steel
0x0e387eff840199b5d6b9dcb6fb6eed3752f89ecf984eaaa0001482534a78c163,wilder.kicks.airwild.season1.116,Machine Momentum,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmUGYkyiudo1ArnMHMfZi1xGVguwuSiS1Dww3tngSRi7aT,ipfs://QmTV9vHKrJ62DFw7581Eo9UWmQDiqvqyQ6kgzuUPE5dwNu,disabled,Momentum,Wilder.Kicks,Black,Resin,Green,Steel
0x48a6c98cbb3d2ca0ac408c1d9b5c3ccc217cf9d65b08810d685e95b847b388ee,wilder.kicks.airwild.season1.117,Hero Fear,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmcJm35gkcjL87RdndNZH8mumQsu6GChqBHSnZhnhzM1WU,ipfs://QmfQABT3meCZC7yStsg3TN5aTTTSmZDXyCt1zM3ofBE4j8,disabled,Fear,Wilder.Kicks,Red,Resin,Purple,Steel
0xb5ad250d7f4d6ddf7ca1bb3d59ffb30a66bb8e7e4e2e90f86de41bdff5153417,wilder.kicks.airwild.season1.118,Active Momentum,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmVpQHhuuWuAEKnfREaLvmSjteQpG4eHRWkxja8mbd9iMv,ipfs://QmXeQHwY3SSZs2JQTjetsCSQcynZ5RhcBqrQZe8P6EoH8q,disabled,Momentum,Wilder.Kicks,White,Resin,Orange,Steel
0x3040ade91ec8b1d5b968778b22cbed4c283635f8f5445b08afd2b552a5c4df4a,wilder.kicks.airwild.season1.119,Ghost Fear,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmUkCMyD5JgSkwrgU9kdgckBQyhZtdeHf3fnkJbBSnGxFE,ipfs://QmemfUoK1CFMpbnu4p2Sg9qqNLgrURSrrM5PtNnSGeycZj,disabled,Fear,Wilder.Kicks,Red,Resin,Green,Steel
0x69a450d457be3136840601de138e155b9573972228c014bc0041ac62166bdefc,wilder.kicks.airwild.season1.12,Liquid Gold,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmVej3ytMNLrCtSTeAc8qjsUvpxFwrkUWZVtm1ERzxm8H4,ipfs://QmeNGch1vLxiUCc7VHVSM63eMXZQeX8kGxjmFxsoZL1pCP,disabled,Liquid,Wilder.Kicks,White,Resin,White,Steel
0x6baf3b50dacedd91dd295d687a73760d0c066b2a58d5ff1e54b366312eb66414,wilder.kicks.airwild.season1.120,Fire Fear,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmaHpdt3SxjtrAiY1ovDzpiPHgZ6xQfphRX2RJXx7UE6SD,ipfs://QmYqBV4555aubePmrTneQ74RatsHCQEnVvtqrcxZiQX8D2,disabled,Fear,Wilder.Kicks,White,Resin,Red,Steel
0x5dcafd2553f8df4fe3a5d2b6b757636beed9a8ab62ca82b98e3e403bee1c5e1d,wilder.kicks.airwild.season1.121,Murquaba Mandala,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmT2HwC94dyHbyxs3DrxBQZ8YdVy5Q8Qcnq4zhqnRXTF7q,ipfs://QmedzDGhMk83UNuLQeRSy8n69CCc6ZuZGrzJycq6psJpqm,disabled,Mandala,Wilder.Kicks,Green,Steel,Green,Resin
0xe8d25d0ffcc5e4002f39612d20180536d81c44f42f9f3e37c8e30761c69d062f,wilder.kicks.airwild.season1.122,Photon Zero,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmcezskieACLzLnu6gNqWieqNLXNpxeWxBdUse1xSFfucT,ipfs://QmVuysRqAg9FhvvwHETB7Ybd9FTg8adQwVCdBw3sHW4nfj,disabled,Zero,Wilder.Kicks,White,Resin,Yellow,Steel
0x6f38e898368f62ed0c2d31e302e76315e95c6be3427167247034860b69b9e216,wilder.kicks.airwild.season1.123,Gleam Momentum,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmPNgcsUaNMeyBvYKXiQbuAhFaAzETiDF2ucs6STWZygrD,ipfs://QmbhcVYSrx6ydRZLKd6tSFUwCYBaxd64tB8h1mLCK1iaXd,disabled,Momentum,Wilder.Kicks,Black,Resin,White,Steel
0x344eb15e6081da0879440275f50a89b672f359c64a9080d93b145a8c12363e23,wilder.kicks.airwild.season1.124,Cloud Momentum,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmXfN6v34wwoBqdCfMW3cHpNSZVME954VVsEp1YchNy1P7,ipfs://QmY5VgboCRx34LHgfnSm4xxpis15cvDtigGWhoxam5xKGZ,disabled,Momentum,Wilder.Kicks,White,Resin,Blue,Steel
0x631fd113e86f355c62a2b3ca4f0d6c3524efb3cddba34926902e541d836457b9,wilder.kicks.airwild.season1.125,Flight Momentum,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmQCG9CKmvM1CRZYGAjRtJ9ntbXGcbYd45UWwhjR6nx9dZ,ipfs://Qmc5MphFcoVb322e4UFm9jaozu5Sbh3uPXHTNMcQWwW4Jn,disabled,Momentum,Wilder.Kicks,Black,Resin,White,Steel
0x3aa30cd9ecfafe1238291f29cdc886fd15dc2a7cd92f670fd212af60222c0d25,wilder.kicks.airwild.season1.126,Amber Zero,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmQesXm3bMg2CrpHBu3xVw13Dcb9xrhKisxhUQrvnrw9xH,ipfs://QmQ2c7nNBnPiWPUaPRCUF7gijehNkNXttaWhCvzXi6Wn2v,disabled,Zero,Wilder.Kicks,Red,Resin,Yellow,Steel
0xaaf1455ac91dcab8d2f919b2a1739aaff530211bf5b2c17edb9d45237612b6fb,wilder.kicks.airwild.season1.127,Nirvana Mandala,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmYn1z7RoZFa7EvrF23ozGLGf4H8QcGRuSrFGumSHtsMsm,ipfs://QmVHSNZoKqYJdgw4NT2nqiN2X1Ubi24yKV1FyCz66GRKCi,disabled,Mandala,Wilder.Kicks,White,Resin,Purple,Steel
0x5dfd0bf88773e3645a8a47741240c8842d091749a6fdaaab6893f33d4598f753,wilder.kicks.airwild.season1.128,Prize Momentum,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://Qmd1s6MULGSYGAhhzsWQs44J1SuUEeuxKtyJWBAwgoUfRL,ipfs://QmT45gM1UJXKakTYJjb5bqd6U139eUQ7mMoXDj2QKM3fPY,disabled,Momentum,Wilder.Kicks,Black,Resin,Yellow,Steel
0x869740f39f235cd8a82c0c70be8317636dc7fc2b59edbe95aa66aeee0050da18,wilder.kicks.airwild.season1.129,Ultimate Fear,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmdiPJi5cigVwcW3fKGYr2JhN7SH2QzAWKkVdTdJW1PAiC,ipfs://QmcYh6SdKPB4BiJLSqPBjpHDSS9WLbUYm7ecVVGpaL7hMh,disabled,Fear,Wilder.Kicks,Green,Resin,Green,Steel
0x013093d129a57267026a6b66e1280ddab911641d5f3ee8d357cce92463e8da45,wilder.kicks.airwild.season1.13,Queen Instrument,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmZF8Y9VkcFHa25MevwPpKy4cYUtyk1H3kvwp8FJtczfCq,ipfs://QmYzQCNWRJ2ABiBacqNVjjfG76oEDYbFgbJiKScE56KvdC,disabled,Instrument,Wilder.Kicks,Blue,Bone,Blue,Resin
0xf3e3c1d18de1ee17381b0d437f7b56380e2a70dc75cf589ad9c9de2e21083e33,wilder.kicks.airwild.season1.130,Ai Momentum,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmP68h8LhDRZjnBLTXxKtfruT5EraW5A5aqadyjNMcRYRv,ipfs://QmUkpoB4boUkrkdXa3tgcY2wjEjqC9yjUXtxosjRZ7o1PV,disabled,Momentum,Wilder.Kicks,Black,Resin,Purple,Steel
0x77ac76edf76e201cc4d06c2f7e5ac41506e400a3d66978b1743d8c0bbadcdbe9,wilder.kicks.airwild.season1.131,5d Mandala,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmQAV9yn7bmaytiHP673zQfFeyT6pUhQ5HmhjQ66MWznnc,ipfs://QmUXuM3xxT8kkmfBoES5ystFLNDBGFBVqaW2BfeNdYaWDG,disabled,Mandala,Wilder.Kicks,Black,Resin,Blue,Steel
0xf1275ab40f9ddc20e98cce467cbed651b47d0ffc6a62de78e6915ab55c19fcae,wilder.kicks.airwild.season1.132,Infinity Zero,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://Qmd4YrHkABjo6Aeq6xKJsBCFrJeCoPDXkzxu2xALC9jGEN,ipfs://QmVo8WsUN8m1juWExMdVxuQKhQFbujCdW7jQ3SauUsZTUz,disabled,Zero,Wilder.Kicks,Purple,Resin,Purple,Steel
0x90688109d5c14f35549cdbe247f191d6d505a239d4e3068be546d9d01fa34b4d,wilder.kicks.airwild.season1.133,Illuminate Mandala,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmWMV5eVdkt1JoDZb2Fa746uhsoHjYhPi2oiobKhPXcQ3J,ipfs://QmQerZiNMz4Vjohy2W7dW9q2ygrDMUdmGXKPG5pmZ8VCgH,disabled,Mandala,Wilder.Kicks,White,Steel,White,Resin
0x8e09205595c544707df3e153dc06c153b646e539da84cdfd7769138a0258b9d1,wilder.kicks.airwild.season1.134,Known Fear,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmXfMh3buANcad2gE2NnWAmb9SNYKUXMgMNUNB7PMcpfwT,ipfs://QmR4eYgJpX7dj3cZoyZGdNQwoZ3Kc4W8WkX66XSNWdd7hj,disabled,Fear,Wilder.Kicks,White,Resin,Yellow,Steel
0x94e3f9039576dfbbafc4fa2b2a900cdc92cf78d7f8d3b5a68f6c54c52c000796,wilder.kicks.airwild.season1.135,Simulation Ribbon,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://Qme4xpYLGBkxoucQ7YcGhYv5gGDwhcfNxG6PWecYzGfZC2,ipfs://QmT7XKjcGYMdLz9GtiwmdYsrfitpjjVtptbPFgjdAShmiP,disabled,Ribbon,Wilder.Kicks,Blue,Resin,Green,Steel
0xa116460c0cd1070c96e7856975a3662867bbc7bbc33fcaff5b32e9be3ff2c11e,wilder.kicks.airwild.season1.136,Og Metashroom,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmWifM81YGBiHmzoZxBeGfghucxGPQSe9vuk8jDcJywQsi,ipfs://QmWw3zDZHPW7W2xErKc9qMEKb52zFoSY1vbpq6xdzhvd78,disabled,Metashroom,Wilder.Kicks,Black,Glowstick,Mars,None
0xf0d6eaee154c474e9cfef32a4a95faed4a730624019ce5216920642fb76054d0,wilder.kicks.airwild.season1.137,Og Ribbon,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmNbjHm8ncPCec71foauo1EJ5D6wXbBr3nihdJMsqAskSR,ipfs://QmXSKx7p2pWvb37GE3MEJ7pC54JJmxMWnhiGm7ZuEaNPYs,disabled,Ribbon,Wilder.Kicks,Black,Steel,Black,Resin
0x19b521eb11c8a8f2fa0df2eb989d66d72500104d43d6606d9a056f97547d2c1e,wilder.kicks.airwild.season1.138,Cold Fear,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmWqro3pwjdYTX9MZeskJxhEUKYv9gUe9HKgzUYdnGadUS,ipfs://QmRXJsScPCt7LyJ7nS9LqnRcUys3i3aBFaAxU6cEbpLX5Q,disabled,Fear,Wilder.Kicks,White,Resin,White,Steel
0x0ea0bcd32e8c60505d8a8894aea2eea7f2e1c99b0f4a33055c507bbe25b6cd57,wilder.kicks.airwild.season1.139,Future Fear,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmaVYRfX9JTRkWRKHUzw5S4bVRtJSLtoPSurt5Uch8BMP3,ipfs://QmYAZaA7tnXmNitraQ5Yr26sXzDa3LMvKiveTPz9wvjvwi,disabled,Fear,Wilder.Kicks,Red,Resin,Orange,Steel
