tokenId,domain,metadata.animation_url,metadata.image,metadata.name,metadata.attributes.1.Bottom Fairing,metadata.attributes.2.Chain Cap,metadata.attributes.3.Color,metadata.attributes.4.Exhaust Pipe,metadata.attributes.5.Headlight,metadata.attributes.6.Number Plate,metadata.attributes.7.Pattern,metadata.attributes.8.Side Fairing,metadata.attributes.9.Speedometer,metadata.attributes.10.Top Chassis,metadata.attributes.11.Wheel,metadata.attributes.12.Wheel Fairing,metadata.attributes.13.Windshield,metadata.description
0xf60e36177e690b237e09e6c18e39891f4bfb5b887ba9ea92c4bc0e7887dc065c,wilder.moto.genesis.1006,ipfs://QmaLk3WtdtP69Yxo9Ar8BuvArojkrEN13s5Pzbcq8uxTZm,ipfs://QmXzdmkLsFzBHLuRSASiQA1dnbWA7hFK8eWjTdg3znE9tq,Moto #1007,Type 1,Type 1,Oasis,Solo,Enduro,MM-125,Static,Type 4,Mechanical,Cruiser,Dirt,Type 3,Type 1,"A traditional design with the capability to adapt to a variety of terrain while maintaining a strength for easy riding, even over long distances. Drivers will experience strong and steady control for a smooth, reliable ride."
0x1d4deb5011858c55fce662afd31a9265dc42d72ee3405ad7b583fd4467396fe4,wilder.moto.genesis.1007,ipfs://QmPtCwmHWSLjUNdGTS4Kx2t9om44TVR7kr8jDaRizt3GmB,ipfs://QmbEjxyoWdEkwdYAZNxCCiTAHS9oBJfEFeeMJZvUDq7Nmm,Moto #1008,Type 1,Type 2,Flo,Solo,Knight,VR-318,WILD,Type 2,Mechanical,Cruiser,Street,Type 1,Type 1,"A traditional design with the capability to adapt to a variety of terrain while maintaining a strength for easy riding, even over long distances. Drivers will experience strong and steady control for a smooth, reliable ride."
0xe369ca3d3fec3b94f2d1d73abe0102e49a2446e23bd70226420f2beebffec863,wilder.moto.genesis.1008,ipfs://QmXKFSYVgS9WX4BeUqSLcJqcTeBtgZoYi1y97eP4RJWy2N,ipfs://QmQcw3MLKQiHRDSCASBdVDH1NF9NPBZK3rWLeZQM4JHYtX,Moto #1009,Type 2,Type 1,Paradise,Dual,Base,WM-436,Beam,Type 2,Mechanical,Cruiser,Street,Type 1,Type 1,"A traditional design with the capability to adapt to a variety of terrain while maintaining a strength for easy riding, even over long distances. Drivers will experience strong and steady control for a smooth, reliable ride."
0xebb72c998d1525730cf8ea4ffd4a6d5e3b4cc8c8101fcd23618c39e230af30fb,wilder.moto.genesis.1009,ipfs://QmfQ1hH7KDowj6yWoXpH1tDXzL84LB3P2DQWpcygqopxT4,ipfs://QmdYoq85BQumQURTCTKnjQjdgPL1px1pfQw66djoxwd9Pk,Moto #1010,Type 5,Type 1,Freedom,Dual,Base,WM-108,Diamond,Type 1,Mechanical,Cruiser,Paddle,Type 1,Type 1,"A traditional design with the capability to adapt to a variety of terrain while maintaining a strength for easy riding, even over long distances. Drivers will experience strong and steady control for a smooth, reliable ride."
0xef1cbcfced6bf1d75c01c395d2c3cc6d79872755ea01357ef60c67c95b8a358d,wilder.moto.genesis.101,ipfs://QmXGpLmLLAzy2jQGHuabjaRDjd79D359kVHWuX2R39HYMz,ipfs://QmUjAW6NiUp1DHPP7dWJMnnG8wwY73eHZHNqjckkPrLjPW,Moto #102,Type 5,Type 2,Sunshine,Solo,Enduro,MM-810,Diamond,Type 2,Digital,Cruiser,Dirt,Type 2,Type 1,"A traditional design with the capability to adapt to a variety of terrain while maintaining a strength for easy riding, even over long distances. Drivers will experience strong and steady control for a smooth, reliable ride."
0xcaab146fa16751aa4f0c1969c95c5dfb850df2c453ece04907f86daf1943fa02,wilder.moto.genesis.1010,ipfs://Qmb95YMKa61pVN6Wvva2EAQZrZbVRhoayCMvbeVjxDCJeG,ipfs://QmYH7hYTCJhtkCN35cYdCwh5kdq7gHNgFvcVZnB8nTGoA9,Moto #1011,Type 2,Type 1,Hypnosis,Dual,Enduro,ZZ-430,Diamond,Type 1,Digital,Cruiser,Street,Type 1,Type 2,"A traditional design with the capability to adapt to a variety of terrain while maintaining a strength for easy riding, even over long distances. Drivers will experience strong and steady control for a smooth, reliable ride."
0xcf6b7844325458d95eb5356ef1a7d4c95044506296291f8a40655ce05d6c4d35,wilder.moto.genesis.1011,ipfs://QmRFcmjxjMUwZfBEUDtMGHZRGbcHhpUFrxTVo27itVmtdc,ipfs://QmNt9GViizsK9qZe3AduxuaCpsRA5p7qs4Gy4nFECHjvqx,Moto #1012,Type 1,Type 1,Paradise,Solo,Knight,ZZ-690,Static,Type 4,Digital,Sport,Hyper Sport,Type 2,Type 1,Designed for the racer in all of us looking for the ultimate source of speed and agility. The Sport design offers powerful torque and precise handling to give riders the edge coming out of every corner.
0xa598ca222a7b0b29ea3637bb455434b374b1f385c024acb8249af598043878ca,wilder.moto.genesis.1012,ipfs://QmcxrKGc9nkqfuBSsdjDZjcz8LxbPedMv7nC1wxckYLw8U,ipfs://QmXbA5dq6c1h6ZxRy6MMyY3wPWegmwRvLwxpTehdwXbqpB,Moto #1013,Type 5,Type 1,Paradise,Stacked,Base,ZZ-108,Vibration,Type 2,Mechanical,Sport,Hyper Sport,Type 1,Type 1,Designed for the racer in all of us looking for the ultimate source of speed and agility. The Sport design offers powerful torque and precise handling to give riders the edge coming out of every corner.
0xa5bd850b6dc8e83719e4b41ff16e8e500dcdecdf4cf4b060bc950a8d5277470f,wilder.moto.genesis.1013,ipfs://QmYQw5m5X2Q7Uid5yxMNiWmULWRFTK6Y8SJtNeAKCoRZuB,ipfs://QmaNpT2FNaEdkAMQcoPtGSaMFuowa5egE7vaxgmYksaD9G,Moto #1014,Type 5,Type 1,Freedom,Dual,Sport,WM-255,Beam,Type 2,Mechanical,Cruiser,Dirt,Type 3,Type 1,"A traditional design with the capability to adapt to a variety of terrain while maintaining a strength for easy riding, even over long distances. Drivers will experience strong and steady control for a smooth, reliable ride."
0x64fac3616eda5944fc10c15e973dd86c2fc639080327a3cdb78c16e45f040226,wilder.moto.genesis.1014,ipfs://QmfQqWuKZgVtY7Ei9Yd9yMDRB4eWhPqqUCczENhvFMi2yh,ipfs://QmQfU9cpcQ293tFifC9LKSCutSWoyjW9h1JpnvE51LbWqK,Moto #1015,Type 4,Type 1,Flo,Trifecta,Enduro,ZZ-584,Vibration,Type 2,Mechanical,Cruiser,Street,Type 1,Type 1,"A traditional design with the capability to adapt to a variety of terrain while maintaining a strength for easy riding, even over long distances. Drivers will experience strong and steady control for a smooth, reliable ride."
0x1ae124314f9f1d187bcb9043ae6be14d036e440d6a40739ff7ea8cd4219c8e5c,wilder.moto.genesis.1015,ipfs://QmX6UnaAEKXCkr3iCq9ETd765psVwD1YNfh9yRSp6K9K3C,ipfs://QmNqaUSHpSErm3oLPvV3NqPBt4sApdQWDm2pSoivRgvtjt,Moto #1016,Type 4,Type 2,Hypnosis,Dual,Knight,MM-933,Vibration,Type 1,Mechanical,Cruiser,Paddle,Type 2,Type 1,"A traditional design with the capability to adapt to a variety of terrain while maintaining a strength for easy riding, even over long distances. Drivers will experience strong and steady control for a smooth, reliable ride."
0x37b1969d1965e660cb4fde9ae90944239e0811b90d15add71e7d412c6a00a888,wilder.moto.genesis.1016,ipfs://QmaziastmYr6MLtirAhr2917sk8Q1pSSv9VXKvASUmXbUP,ipfs://Qmcdgub99pvMRdGbuiLnbyDGSPoGsymjkyVgmEqVPWhrJb,Moto #1017,Type 3,Type 1,Paradise,Dual,Glide,WM-499,Diamond,Type 4,Mechanical,Cruiser,Paddle,Type 1,Type 1,"A traditional design with the capability to adapt to a variety of terrain while maintaining a strength for easy riding, even over long distances. Drivers will experience strong and steady control for a smooth, reliable ride."
0xc6049f6d8b0b93d637e8e180adc48472a97e7f87c3015aa47b2812d07fd673b2,wilder.moto.genesis.1017,ipfs://QmNY2i9aE7ZAXCSmEF5P1vFMqAuzq5PinmjxJi2TzBmW1m,ipfs://QmYpiDWhHRAJ4nEXrNknMnEjVq2xL3JCVVzd2KBUHWSW4G,Moto #1018,Type 1,Type 1,Sunshine,Trifecta,Knight,MM-806,5D,Type 4,Mechanical,Cruiser,Dirt,Type 1,Type 1,"A traditional design with the capability to adapt to a variety of terrain while maintaining a strength for easy riding, even over long distances. Drivers will experience strong and steady control for a smooth, reliable ride."
0xb1e0334fbbca1206ea96ec6eee042b5a09018e0058edbca9f8653a4d317f1afc,wilder.moto.genesis.1018,ipfs://QmePZ2VKtVu9DZaAw8BMa4ZJv5hBXewqBPmTKxGuWttxe8,ipfs://QmcnC36GsdKKzBsshmJyk8awdyM3Nr2hKZqnGJRpvN41yD,Moto #1019,Type 6,Type 1,Hypnosis,Solo,Base,WW-669,Vibration,Type 5,Mechanical,Exotic,Bladeless,Type 5,Type 1,"Be released from the challenges of terrain in this bold experiment from Frank Wilderâs lab. This ultra-stylish and bold Moto hovers inches off the ground, removing any friction standing between Wilders and its top speed."
0xe108f7526faaa43ee201cede541bd2464a80e0ee0c4c5434dc8ecc2839934053,wilder.moto.genesis.1019,ipfs://QmS1LS5CJK1AMUcyLuWyuXnzwAop2tKocEbGKEzj3741ag,ipfs://QmWMZ4qDpDRgq69TpVq4Pw7LvWceCVwu1JdXSLQHMQpCni,Moto #1020,Type 3,Type 3,Oasis,Trifecta,Base,MM-546,Beam,Type 2,Mechanical,Cruiser,Dirt,Type 3,Type 1,"A traditional design with the capability to adapt to a variety of terrain while maintaining a strength for easy riding, even over long distances. Drivers will experience strong and steady control for a smooth, reliable ride."
0xdf2813d386576236b1513a5a1ce1e0e32d9348fc8d69a13326bd43b4c152235d,wilder.moto.genesis.102,ipfs://Qmb6bRzrQ7WArqywFBFxQz49npHiCeHaLDf2d9zHHAi4ZS,ipfs://QmPCiZshC7VR5ApnFWUTppak1q6CXsRMUXXLZCyd13hA7t,Moto #103,Type 4,Type 1,Rayne,Solo,Sport,WM-460,Distortion,Type 2,Mechanical,Cruiser,Paddle,Type 1,Type 1,"A traditional design with the capability to adapt to a variety of terrain while maintaining a strength for easy riding, even over long distances. Drivers will experience strong and steady control for a smooth, reliable ride."
0x170b2d38a790235f51f9fca4d0940dfb354bbb22f007707598a500c1e98f2839,wilder.moto.genesis.1020,ipfs://QmRXkKNuzBnmeQeqwSunYP5LpLgT3LpwPeZ2VaLW9pbKdN,ipfs://QmSqcg7AJi7kN5fHZ5kBpGuwwV9jDvAMTu1k12jyCVeEkn,Moto #1021,Type 6,Type 1,Saint,Solo,Base,VR-397,Static,Type 2,Mechanical,Exotic,Bladeless,Type 5,Type 1,"Be released from the challenges of terrain in this bold experiment from Frank Wilderâs lab. This ultra-stylish and bold Moto hovers inches off the ground, removing any friction standing between Wilders and its top speed."
0xe3390fde75f0238b3f076505e937e7d70b8a19b2a62d9c828d2a594a210d7d9d,wilder.moto.genesis.1021,ipfs://QmdJ6kPq41Fz6HjLqFKWREYtiUtpJwxmFnU3Hpt7wujSCa,ipfs://QmRnZ7hN7yRUwVGGV8B9i5B98T6o7919d3v8J2iNN34AMr,Moto #1022,Type 3,Type 3,Oasis,Dual,Enduro,WW-391,Hexo,Type 1,Digital,Cruiser,Paddle,Type 3,Type 2,"A traditional design with the capability to adapt to a variety of terrain while maintaining a strength for easy riding, even over long distances. Drivers will experience strong and steady control for a smooth, reliable ride."
0x23e6e6b6eec2dfa8404034c4c4e8261d65ffb4c6d7c3bbe5672637f4260f98c3,wilder.moto.genesis.1022,ipfs://QmPRh53DQDqhkKqr1WSz1vhS8mCpQ2vk6ByupvqyJC6Y4m,ipfs://QmeZHwm7SjsLkTBb7sxZSAzChzmwKrVty5QebRFirME1js,Moto #1023,Type 6,Type 1,Sunshine,Solo,Base,MT-896,5D,Type 1,Mechanical,Exotic,Bladeless,Type 5,Type 1,"Be released from the challenges of terrain in this bold experiment from Frank Wilderâs lab. This ultra-stylish and bold Moto hovers inches off the ground, removing any friction standing between Wilders and its top speed."
0x55b8b5a4f0a718ca6affd6d8153039249f22878c710354c631628294648574eb,wilder.moto.genesis.1023,ipfs://QmeBejMaDWwTADasoW7qR3G5bdMdMtVe3m8ZjvFxKG9qTg,ipfs://QmZN9YeTB7VaJmzEAZCTNbZ1zwSPo8Y2AMMwPxmBBGJzFf,Moto #1024,Type 4,Type 1,Sunshine,Dual,Knight,ZZ-134,Static,Type 2,Digital,Cruiser,Paddle,Type 1,Type 1,"A traditional design with the capability to adapt to a variety of terrain while maintaining a strength for easy riding, even over long distances. Drivers will experience strong and steady control for a smooth, reliable ride."
0x40c70c85bc38d124f8313930cbbb3bdd68fbac68e58bdbce85d30ae7ef026b65,wilder.moto.genesis.1024,ipfs://QmP6Ur5X8T8heHuV7oao6jXisbm86hWL3WJtAnTQeVjrC9,ipfs://QmeBsJgzVEBt5HTjpg48U9DsygNzFFLzB3KTiFAtxNwWdm,Moto #1025,Type 7,Type 1,Q,Solo,Base,MT-142,Vibration,Type 1,Mechanical,Exotic,Bladeless,Type 5,Type 1,"Be released from the challenges of terrain in this bold experiment from Frank Wilderâs lab. This ultra-stylish and bold Moto hovers inches off the ground, removing any friction standing between Wilders and its top speed."
0xa2ae2f4ac350613d880815610fb1db2efef87ff6f9d71cda2270413b14252341,wilder.moto.genesis.1025,ipfs://QmWu8yq9aCrg77dQKeKow8YEZwhcsJryX9FaCQ2ES3LBgp,ipfs://QmVB4GRKGwWUBk634vTmajV6dqarEKrXUwLAgaYPKXF3bN,Moto #1026,Type 1,Type 1,Hypnosis,Trifecta,Knight,WM-721,Static,Type 2,Mechanical,Cruiser,Street,Type 3,Type 1,"A traditional design with the capability to adapt to a variety of terrain while maintaining a strength for easy riding, even over long distances. Drivers will experience strong and steady control for a smooth, reliable ride."
0x2702a993a071c517df8c48358a4d488a747dbe03cedd74436439e154e1fe6acf,wilder.moto.genesis.1026,ipfs://QmcitacBEHFA2MY655jv2VdpZBQ5qwMDDrk6xgsnk47khf,ipfs://QmS8Js3JR6f55WGnwBeeXFC3VhDSL9hNmpt2Bh4MsJBDuX,Moto #1027,Type 1,Type 1,Hypnosis,Solo,Sport,WM-297,WILD,Type 2,Mechanical,Cruiser,Street,Type 3,Type 1,"A traditional design with the capability to adapt to a variety of terrain while maintaining a strength for easy riding, even over long distances. Drivers will experience strong and steady control for a smooth, reliable ride."
0xa3d7e6471d882e0e10883b1183bf8c9cf979c9cd3d528c301e27bf317ff9a4f8,wilder.moto.genesis.1027,ipfs://QmUyRW6EkmCmkCAyqugPbrUn9RKpJaWfTTkLpUeruGPiK3,ipfs://QmYGDBgRLzFsJkHMREtSxoYNVamUPcP4q3QMMtNhVBmw5h,Moto #1028,Type 5,Type 1,Hypnosis,Stacked,Base,WM-186,5D,Type 2,Mechanical,Sport,Super Sport,Type 2,Type 1,Designed for the racer in all of us looking for the ultimate source of speed and agility. The Sport design offers powerful torque and precise handling to give riders the edge coming out of every corner.
0x01e20d26a3fa70c3b5a874b13004b7d019d1b19e24434fe06e0f7356e4723e78,wilder.moto.genesis.1028,ipfs://Qmc41aSpbHNsKYXxjCNmYD1Z4yUCCVAXRR1Z9LSt7aXPFU,ipfs://Qmbh5s7US9y4TDxFFm7dP2gAoEYEt6vE3ENyChyPELcNzp,Moto #1029,Type 7,Type 2,Paradise,Solo,Knight,ZZ-645,Diamond,Type 4,Mechanical,Exotic,Bladeless,Type 6,Type 1,"Be released from the challenges of terrain in this bold experiment from Frank Wilderâs lab. This ultra-stylish and bold Moto hovers inches off the ground, removing any friction standing between Wilders and its top speed."
0x44c546f51d76f6e52cbb3a9e6661140957485587a174485f5fda9d8d96c7d62f,wilder.moto.genesis.1029,ipfs://QmXw2YKR5bH331fc98m75zCVtGN1qDrwGamS8NavdCnNGL,ipfs://QmdBYQ4qcKQuCBzz5eQU7qw5XSr1E7a7H969eu3HRjVXP3,Moto #1030,Type 2,Type 2,Paradise,Solo,Glide,MM-852,Wonder,Type 2,Digital,Sport,Super Sport,Type 1,Type 1,Designed for the racer in all of us looking for the ultimate source of speed and agility. The Sport design offers powerful torque and precise handling to give riders the edge coming out of every corner.
0x5b63d0f5dde6ee090ab603a1a6654e1eb51bd9fd5effe493c5785d638e4f8a57,wilder.moto.genesis.103,ipfs://QmUb8rTR6x3VffsAYKXzwFCBpXHprESYDdZPvktpBroJ7w,ipfs://Qmf8ZZ9HwRQJwXgPSq8gTuqzynq8yZh1y3c9NQruuERBrd,Moto #104,Type 6,Type 1,Oasis,Solo,Knight,MM-270,5D,Type 2,Mechanical,Exotic,Bladeless,Type 6,Type 1,"Be released from the challenges of terrain in this bold experiment from Frank Wilderâs lab. This ultra-stylish and bold Moto hovers inches off the ground, removing any friction standing between Wilders and its top speed."
0x4646120752305b998cab2509ba0be041cf0acd94cd3b90f3849d24743ddf2321,wilder.moto.genesis.1030,ipfs://Qmehi6PPjiqJR7psThp8zPamXaDQ6w7WmEG3gL3s2UMHW7,ipfs://Qmagik2q88ELJeU44de2usYx48DvRHhSnpFjzEUie8ALgX,Moto #1031,Type 5,Type 1,Rayne,Dual,Sport,WM-210,WILD,Type 2,Mechanical,Cruiser,Paddle,Type 1,Type 1,"A traditional design with the capability to adapt to a variety of terrain while maintaining a strength for easy riding, even over long distances. Drivers will experience strong and steady control for a smooth, reliable ride."
0x9813d01519a11fcc0ee9f8d2a61c3655e098a2b1c1e323cdf4b2673b1ed4a583,wilder.moto.genesis.1031,ipfs://Qmd8nrDPTDtCg2Bme7Ftz6GuUWUpbNYjjFc3f66jbTPFgj,ipfs://QmTv4gamACPZeBJr8grU39hxXhxG4RMqw45HHqQb46L36E,Moto #1032,Type 5,Type 1,Oasis,Solo,Base,WM-996,5D,Type 1,Mechanical,Sport,Super Sport,Type 2,Type 1,Designed for the racer in all of us looking for the ultimate source of speed and agility. The Sport design offers powerful torque and precise handling to give riders the edge coming out of every corner.
0xe508ead342ef971fec27b9682a496fd1fbbd24b636ab2a3653e6029bcc739ec8,wilder.moto.genesis.1032,ipfs://Qmf9YZWT8HvnR8XFXsoWnD4cW3rBcnw1UCCbE5kD1McxVj,ipfs://Qmb9PuckK4u9sc4MgCukDgJk5jj3YtvHsKsTredizAhNZi,Moto #1033,Type 4,Type 1,Wilderness,Quad,Futura,VR-621,Quad,Type 4,Sidecar,Digital,Hover,Turbine,Type 7,Type 1,"The ultimate Moto. A futuristic design that can fly like Wilder Crafts, dominating the skies of Wiami. Experience unbound exploration of the tropics over land and water as the air becomes the new normal."
0x22f197f73ac12eed74946a87310b055a37f012f34f278aa2a87cf8afcfd33c23,wilder.moto.genesis.1033,ipfs://QmSPvZbFX9WdcJjyZFQ2QFYkZWnZd5ToNBQ5355KxdcNow,ipfs://QmdBBMow6mARqQqFnNnSzeWcwNvS8Mpsx67VsJF2frY9iG,Moto #1034,Type 5,Type 1,Flo,Dual,Knight,VR-179,5D,Type 2,Mechanical,Cruiser,Paddle,Type 1,Type 1,"A traditional design with the capability to adapt to a variety of terrain while maintaining a strength for easy riding, even over long distances. Drivers will experience strong and steady control for a smooth, reliable ride."
0xa82e9c72afef34f2e689779e240410f8b1be881c99caa0831464102ebc00ce53,wilder.moto.genesis.1034,ipfs://QmUVxQdBt63MtSNR6CxaHY8Q6dj7hTq1hkgRUYASrZkEgV,ipfs://Qmdvfx7fujS35GB2eUhnn7kcAbpfW4sjg7t8Ge1XLJYQP6,Moto #1035,Type 2,Type 3,Flo,Dual,Knight,ZS-992,Vibration,Type 2,Mechanical,Cruiser,Street,Type 1,Type 1,"A traditional design with the capability to adapt to a variety of terrain while maintaining a strength for easy riding, even over long distances. Drivers will experience strong and steady control for a smooth, reliable ride."
0x9c4fbd421445a858e189b4780f9e9c60c5ab069a1dcf8b6a40379c9fd38f8944,wilder.moto.genesis.1035,ipfs://QmVJRpM5V7Hcz5GJcSU2HdNXi96YBLVhg4AEtbNyKutd7i,ipfs://QmSkHfGxCsijksKvscthJRAKJCWKWqDKWtpX54QXUkHaqz,Moto #1036,Type 2,Type 1,Sunshine,Solo,Base,ZS-997,WILD,Type 1,Digital,Sport,Hyper Sport,Type 4,Type 1,Designed for the racer in all of us looking for the ultimate source of speed and agility. The Sport design offers powerful torque and precise handling to give riders the edge coming out of every corner.
0x315e52f4f152744dbcfd0c29a2751b9bb0c870ec7cf8a6e83e52ee964c69c9b0,wilder.moto.genesis.1036,ipfs://QmQpGpbQ1YFspWRkwKmmxm8YTkPVHJWtY6uiJDgq3QWoEn,ipfs://QmWiCdfbJCnniCpDpRkksJR6JKbfTjNdV1wjjcpbYc2sZm,Moto #1037,Type 5,Type 2,Hypnosis,Dual,Enduro,VR-819,Hexo,Type 1,Mechanical,Cruiser,Dirt,Type 1,Type 2,"A traditional design with the capability to adapt to a variety of terrain while maintaining a strength for easy riding, even over long distances. Drivers will experience strong and steady control for a smooth, reliable ride."
0x29cd241fa393108d713660ba0a81764ee9e8bf3d6f60f8cdfa5c6e5faa704e22,wilder.moto.genesis.1037,ipfs://QmSneanW7vhozZXoRdnqfS2ggTDKbnuDF5gKUNR1PZhuEE,ipfs://QmTq4Ar6yz2Z4Ye6UVvXPPh1Zqt9SkFxqhxgSEUNawLixH,Moto #1038,Type 2,Type 1,Flo,Solo,Knight,ZS-565,Vibration,Type 1,Mechanical,Sport,Super Sport,Type 4,Type 1,Designed for the racer in all of us looking for the ultimate source of speed and agility. The Sport design offers powerful torque and precise handling to give riders the edge coming out of every corner.
